Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,167.0500030517578,168.7740020751953,166.6300048828125,168.50999450683594,163.06988525390625,195800
2020-01-03,166.75999450683594,167.75,166.26800537109375,166.72999572753906,161.34735107421875,134600
2020-01-06,164.75999450683594,166.2899932861328,164.75999450683594,165.85000610351562,160.49575805664062,169900
2020-01-07,165.97999572753906,166.1199951171875,165.17999267578125,165.22000122070312,159.8861083984375,309300
2020-01-08,167.0399932861328,168.97000122070312,166.75,168.5399932861328,163.09890747070312,261400
2020-01-09,170.75999450683594,171.0,169.0,169.91000366210938,164.4246826171875,283500
2020-01-10,174.4199981689453,174.52000427246094,170.3300018310547,171.30999755859375,165.7794647216797,602200
2020-01-13,172.7100067138672,174.2899932861328,172.16000366210938,174.2899932861328,168.6632843017578,375600
2020-01-14,173.6699981689453,174.0749969482422,171.1999969482422,171.5500030517578,166.01173400878906,483700
2020-01-15,172.9600067138672,173.3249969482422,171.8300018310547,172.5800018310547,167.00848388671875,983400
2020-01-16,172.5800018310547,173.41000366210938,170.5749969482422,173.41000366210938,167.8116912841797,495300
2020-01-17,174.99000549316406,175.39999389648438,173.3800048828125,173.94000244140625,168.3245849609375,190800
2020-01-21,172.35000610351562,174.3000030517578,171.67999267578125,174.14999389648438,168.5277862548828,362800
2020-01-22,175.0,175.27999877929688,172.5800018310547,173.1199951171875,167.53103637695312,276500
2020-01-23,171.9600067138672,172.88999938964844,170.72999572753906,172.25999450683594,166.69882202148438,268500
2020-01-24,173.77999877929688,174.01499938964844,171.86000061035156,172.47999572753906,166.9116973876953,196800
2020-01-27,167.39999389648438,168.6699981689453,166.625,168.0500030517578,162.62474060058594,453900
2020-01-28,169.50999450683594,172.07000732421875,169.4499969482422,171.25,165.72142028808594,241100
2020-01-29,172.11000061035156,173.1699981689453,171.25999450683594,172.64999389648438,167.0762176513672,283100
2020-01-30,170.47999572753906,172.55999755859375,170.0399932861328,172.47999572753906,166.9116973876953,337300
2020-01-31,169.41000366210938,170.4199981689453,168.55999755859375,168.82000732421875,163.369873046875,597500
2020-02-03,168.66000366210938,176.5800018310547,168.3249969482422,170.25,164.75372314453125,544100
